,sh grep,tset env,xconfirm endsessi,virtex virtex,ls generic,emacs20 emacs20,download tcpostio,fifo cat,ls sed,sh mailx,launchef hostname,cat cat,ls sh,cat hpost,emacs20 ls,stty tset,cat generic,download hostname,tellwm tellwm,Unnamed: 0,ls grep,date lp,dvips gs,rm ls,rm sh,find emacs20,lock cpp,ghostvie sh,xterm netscape,cat file,cat post,rlogin tput,download gs,true grep,finger finger,dvips ls,sendmail mailx,ln find,hpost dvips,find tcpostio,bc date,xprop endsessi,mailx sendmail,hostname pr,ghostvie grep,sh hostname,nawk maplesy,generic cat,sh userenv,ls mkdir,mailx emacs20,awk ppost,sendmail sh,emacs20 tcpostio,gettxt xconfirm,generic ln,date cat,emacs20 grep,toolches sh,lock generic,ls rm,userenv wait4wm,expr generic,dvips dvipost,sh lock,lock hostname,generic ls,sed cat,awk cat,postprin cat,mailx mailx,pwd ls,xdm 4dwm,ln ln,tcppost sh,lp ln,test stty,post awk,pr id,sed fifo,ln ls,dvips virtex,sh tcpostio,sh getpgrp,netscape hostname,endsessi tellwm,tset launchef,lock gs,dvips dvips,xterm sh,sh ls,mkdir expr,emacs20 sendmail,rlogin rlogin,tcpostio cat,dvips emacs20,launchef sh,date generic,unlock rmdir,xrdb cpp,sendmail movemail,file post,generic expr,rm unlock,sh gettxt,echo sh,4dwm sh,dvipost awk,cat mail,ln generic,gettxt hostname,generic lp,lock emacs20,wait4wm xhost,gettxt gettxt,csh hostname,netscape netscape,tcpostio tcpostio,bc postprin,hostname gettxt,rm rm,cpp sh,sh emacs20,lp sh,hostname id,download gethost,generic tcppost,ghostvie rm,sendmail ls,getopt true,ghostvie hostname,hostname stty,gs ghostvie,tput movemail,endsessi xdm,movemail sendmail,xrdb mkpts,sendmail sendmail,grep find,file ppost,sh launchef,movemail movemail,xsetroot reaper,env echo,find expr,sh xrdb,generic download,postprin date,emacs20 launchef,ls virtex,xterm cpp,lock lock,launchef netstat,fifo rm,find ls,ghostvie launchef,emacs20 virtex,launchef gettxt,ls mailx,lock ls,maplesy nawk,emacs20 sh,netscape sh,find gs,ghostvie virtex,true ls,gethost sh,cat sed,sh gs,ls gs,rmdir generic,file ln,tset ls,tellwm xprop,hpost ppost,reaper cat,ppost awk,generic pr,getpgrp lock,lp getpgrp,dvips mailx,mailx hostname,hostname cat,pr cat,generic gethost,mkpts test,launchef launchef,download sh,dvipost rm,ghostvie ls,cat date,more ls,id nawk,dvips hostname,lp find,mailx tcpostio,post rm,gs gs,ls ln,date postprin,download ls,movemail launchef,gethost download,netscape tcpostio,xdm toolches,sh sh,ls emacs20,ls more,ln dvipost,mailx sh,ls hostname,ls ls,mail csh,pr hostname,netstat netscape,lock mailx,generic date,rm generic,awk date,sendmail tcpostio,ln grep,ghostvie emacs20,mailx launchef,ls sendmail,ppost bc,ppost rm,ghostvie sendmail,sh pr,find mkdir,generic rm,emacs20 hostname,sh xterm,grep date,virtex dvips,sh sendmail,cat postprin,mailx ls,cat stty,lock sh,nawk getopt,ghostvie gs,tset sh,toolches 4dwm,gethost tcpostio,lock sendmail,generic generic,4dwm toolches,lmstat lmstat,xhost xsetroot,lock true,Label
0,0,1,0,0,0,0,0,1,1,0,1,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,2,0,0,1,3,0,0,1,0,1,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,4,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
2,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
3,0,0,0,0,2,0,0,1,2,0,0,2,0,1,0,0,2,0,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,0,4,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0
5,0,0,0,0,1,0,0,1,2,0,0,4,0,2,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,2,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,2,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0
6,0,0,0,0,1,0,0,2,2,0,0,2,0,1,0,0,1,0,0,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0
7,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,7,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,2,2,0,0,2,0,1,0,0,1,0,0,8,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0
9,0,0,0,0,2,0,0,1,3,0,0,1,0,1,0,0,2,0,0,9,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,1,2,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,4,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0
