,make tput,mkpts uname,less bison,col less,nm ld,gdb uname,mkpts bison,tty sed,man sed,Unnamed: 0,nawk cpp,rm ls,bison flex,awk sh,sed hostname,cat hostname,less mkpts,spec cat,make spec,col col,sendmail sendmail,sh man,tput cat,dbx dbxpcs,gcc less,uname nawk,flex uname,man unpack,nroff sed,flex make,rm spec,awk cat,ld_ nm,ksh cat,less awk,as ld_,cat spec,as gcc,gcc gcc,gawk gawk,hostname tty,fold less,awk fold,less spec,cc1 as,make less,ls rm,netscape netscape,rm rm,cc1 gcc,hostname stty,make bison,cat justlex,cpp cc1,spec mkpts,cat lexspec,ld_ ld,tbl tbl,movemail movemail,make cat,sed awk,make flex,neqn tbl,sh awk,ls less,man man,less cat,spec gdb,nawk ld_,less flex,spec ls,col sh,less tput,gdb bison,awk less,ld gcc,make uname,make mkpts,less uname,less less,spec uname,ls ls,spec less,neqn nroff,justlex less,cat sh,tbl neqn,awk awk,gcc make,gcc uname,spec spec,make rm,unpack col,cat stty,tput awk,spec bison,rm make,less ls,less sh,bison make,Label
0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,0,2,0,0,2,6,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,2,0,0,2,20,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,11,2,25,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,11,0,1,10,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
